"grup_codigo"|"grup_classificacao"|"grup_descricao"|"grup_prodserv"|"grup_decimaisest"|"grup_recuo"|"grup_periodos"|"grup_codigoncm"|"grup_comissao"|"grup_dpto_codigo"|"grup_comportamento"|"grup_classfiscal"|"grup_tipoitem"|"grup_dtestmin"|"grup_ctrlestmin"|"grup_percabast"|"grup_abatimento"|"grup_extra1"|"grup_extra2"|"grup_extra3"|"grup_extra4"|"grup_extra5"|"grup_extra6"|"grup_extra7"|"grup_extra8"|"grup_extra9"|"grup_grupo_ecomm"|"grup_dthrmanutencao"|"grup_dthrintegracao"|"grup_margemecomm"
"11862"|"5010060002"| Casal|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11861"|"5010060001"| Solteiro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11039"|"2010030006"|"10kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11055"|"2010040006"|"10kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11040"|"2010030007"|"15kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11041"|"2010030008"|"18kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11033"|"2010030001"|"1kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11047"|"2010040001"|"1kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11034"|"2010030002"|"2kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11050"|"2010040002"|"2kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11060"|"2010040009"|"300g"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11044"|"2010030010"|"300g"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11036"|"2010030003"|"3kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11052"|"2010040003"|"3kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11042"|"2010030009"|"500g"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11056"|"2010040007"|"500g"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11037"|"2010030004"|"5kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11053"|"2010040004"|"5kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11038"|"2010030005"|"8kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11054"|"2010040005"|"8kg"|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10425"|"0010010001"|Abacaxi Em Calda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11617"|"327010"|Abridor|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10719"|"004001"|Absorvente|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11590"|"325018"|Acendedores|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11109"|"3010010003"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11268"|"3060010001"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11532"|"3210010006"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11592"|"326001"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11775"|"4010010002"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11987"|"5050020008"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11992"|"5050030001"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11111"|"3010020001"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11778"|"4010020002"|Acessorios|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11107"|"3010010001"|Acessorios - Porta Cd, Etc|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11514"|"319"|Acessorios Informatica|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11515"|"319001"|Acessorios Informatica|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11335"|"307017"|Acessorios Para o Lar|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11078"|"201008"|Acessorios Pet Shop|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11214"|"3030030003"|Acessorios Protecao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10724"|"004002"|Acetona|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10881"|"101002"|Achocolatado Liq|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10436"|"0010030001"|Achocolatado Pó|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10435"|"001003"|Achocolatado/Chocolate|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12012"|"0040020002"|Acima De 30ml|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11848"|"5010010002"|Acolchoado Casal|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11847"|"5010010001"|Acolchoado Solteiro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11846"|"501001"|Acolchoado/Edredon|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11453"|"3120010039"|Acucareiro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11498"|"3150010002"|Acucareiro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11138"|"3020030001"|Adesivo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10432"|"0010020001"|Adoçante|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10736"|"0040070001"|Adulto|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10766"|"0040140001"|Adulto|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10809"|"0040270002"|Adulto|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10760"|"0040130001"|Aerossol|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11612"|"327005"|Afiador / Chaira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11157"|"3020060002"|Agenda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10725"|"004003"|Agua Oxigenada|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10818"|"005001"|Aguardente|P|3||||||""||||||||||||||||0|2023-05-20 15:23:28.000|2023-06-15 16:12:30.000|
"10726"|"004004"|Algodão|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12070"|"103008"|Alho|P|3|0|0|""||""|""||"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10602"|"0020020001"|Alim Soja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11989"|"5050020010"|Alimentação|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10326"|"000"|Alimento Básico|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10423"|"001"|Alimento Industrializado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10439"|"001004"|Alimento Infantil|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10441"|"0010040002"|Alimento Infantil Pronto|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10440"|"0010040001"|Alimento Infantil Pó|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12090"|"0060040002"|Alimentos Prontos|P|3|0|0|""||""|""||"04"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11964"|"5050010007"|Almofada|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10447"|"0010050005"|Almondega e Salsicha Lata|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10628"|"0030010002"|Alvejante|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10634"|"0030030002"|Amaciante Concentrado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10573"|"0010200001"|Amaciante De Carne|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10632"|"003003"|Amaciante Roupa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10633"|"0030030001"|Amaciante Tradicional|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11484"|"3130010016"|Amassador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10461"|"0010060008"|Ameixa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10429"|"0010010005"|Ameixa Em Calda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10414"|"0000160001"|Amendoim|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10476"|"0010080001"|Amendoim Doce|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12166"|"0010220003"|Amendoim Tipo Aperitivo|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12153"|"0000070004"|Amido De Milho|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11227"|"3040010008"|Ampola|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10452"|"0010060001"|Amêndoa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10635"|"003004"|Anil|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10637"|"0030040002"|Anil Cubos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10636"|"0030040001"|Anil Líquido|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11155"|"302006"|Anotacoes e Correspondencias|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10806"|"0040260004"|Anti-Bacteriano|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10808"|"0040270001"|Anti-Caspa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10638"|"003005"|Antimofo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12190"|"0030050001"|Antimofo|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10730"|"004005"|Antisseptico Bucal|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11186"|"3030020001"|Anzol|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10731"|"004006"|Ap Barbear|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11322"|"307005"|Aparelho Jantar|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11363"|"308007"|Aparelho Jantar|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11387"|"310003"|Aparelho Jantar|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11832"|"4030020001"|Aparelho Som|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11774"|"4010010001"|Aparelhos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11777"|"4010020001"|Aparelhos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10823"|"005002"|Aperitivos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12051"|"1010240005"|Aperitivos Congelados|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11134"|"3020020010"|Apontador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10920"|"101013"|Apresuntado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11787"|"4020010007"|Aquecedor|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11820"|"4020020010"|Ar Condicionado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11076"|"2010070004"|Areia Gatos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10855"|"0050100002"|Argentino|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11146"|"3020040004"|Arquivo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11142"|"302004"|Arquivos e Classificacao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11762"|"342001"|Arranjos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10348"|"000002"|Arroz|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10351"|"0000020003"|Arroz Arboreo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10349"|"0000020001"|Arroz Branco|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12116"|"0000020005"|Arroz Especiais|P|3|0|0|""||""|""|"2000"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12115"|"0000020004"|Arroz Integral|P|3|0|0|""||""|""|"2000"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11067"|"2010060002"|Arroz Para Cao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10350"|"0000020002"|Arroz Parboilizado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11212"|"3030030001"|Artigo Esportivo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11666"|"330003"|Artigo Festa Brinquedo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11492"|"314"|Artigos Artesanato|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11177"|"303001"|Artigos Camping|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11494"|"314001"|Artigos De Artesanato|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11956"|"505"|Artigos Domesticos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11957"|"505001"|Artigos Domesticos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11516"|"320"|Artigos Para Chimarrao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11517"|"320001"|Artigos Para Chimarrao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11523"|"321001"|Artigos Para Churrasco|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11522"|"321"|Artigos Para Churrasco|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11663"|"330"|Artigos Para Festa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11185"|"303002"|Artigos Pesca|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11737"|"339"|Artigos Pintura|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11718"|"337001"|Artigos Praia - Piscina|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11717"|"337"|Artigos Praia / Piscina|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11219"|"304001"|Artigos Termicos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11686"|"3310020001"|Arvore|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11789"|"4020010009"|Aspirador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11368"|"308010"|Assadeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11390"|"310006"|Assadeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11470"|"3130010002"|Assadeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11323"|"307006"|Assadeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10752"|"0040100002"|Assaduras|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11584"|"325012"|Assento Sanitario|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10836"|"0050030003"|Asti|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10505"|"001011"|Atomatados|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10448"|"0010050006"|Atum Lata|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11045"|"2010030011"|Até 100g|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11059"|"2010040008"|Até 150g|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12011"|"0040020001"|Até 30ml|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11106"|"301001"|Audio|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11403"|"3110010006"|Audio e Video|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11252"|"3050040003"|Auto Pista|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11265"|"306"|Automotivos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10433"|"0010020002"|Aveia|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11958"|"5050010001"|Avental|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10998"|"102003"|Aves|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11604"|"3270010002"|Avulso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11607"|"3270020002"|Avulso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11610"|"3270030002"|Avulso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10352"|"000003"|Azeite|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12117"|"0000030003"|Azeite Dênde|P|3|0|0|""||""|""|"135"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12167"|"0000030004"|Azeite Especial|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10355"|"0000030002"|Azeite Oliva Extra Virgem|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10354"|"0000030001"|Azeite Oliva Virgem|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10990"|"102"|Açougue|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10344"|"000001"|Açucar|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10346"|"0000010002"|Açúcar Cristal|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10347"|"0000010003"|Açúcar Demerara/Mascavo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12114"|"0000010004"|Açúcar Especial|P|3|0|0|""||""|""|"111"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10345"|"0000010001"|Açúcar Refinado|P|3||||||""||||||||||||||||0||2022-10-04 15:28:27.000|
"11982"|"5050020003"|Babador/Mordedor|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11408"|"3120010002"|Bacia|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11473"|"3130010005"|Bacia|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11003"|"1020040001"|Bacon|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12047"|"1010290002"|Bacon/Calabresa/Salame Fatiado|P|3|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"10477"|"0010080002"|Bala/Drops|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11451"|"3120010037"|Balança|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11807"|"4020010027"|Balança|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11664"|"330001"|Balao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10926"|"1010140002"|Balde|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11412"|"3120010003"|Balde|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11497"|"3150010001"|Balde Gelo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10459"|"0010060006"|Banana Passa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10905"|"1010080001"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10886"|"1010030002"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10890"|"1010040002"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11342"|"307018"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11414"|"3120010004"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11485"|"3130010017"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11665"|"330002"|Bandeja|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10924"|"101014"|Banha|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11454"|"3120010040"|Banheira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11626"|"3280030001"|Banho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11641"|"3280050003"|Banho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11879"|"503"|Banho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11449"|"3120010035"|Banqueta|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11746"|"3400010005"|Banqueta Ferro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11581"|"325009"|Baralho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11582"|"325010"|Barbante|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11788"|"4020010008"|Barbeador/Depilador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11597"|"3260010005"|Barbear|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10751"|"0040100001"|Barbear|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10540"|"0010150001"|Barra|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10803"|"0040260001"|Barra|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11180"|"3030010002"|Barraca|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10966"|"1010230001"|Batata Congelada|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10580"|"0010220002"|Batata Palha|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11969"|"5050010012"|Bate Mao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11782"|"4020010002"|Batedeira|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11457"|"3120010043"|Batedor|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11272"|"3060010004"|Bateria|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11715"|"336003"|Bateria|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10826"|"0050020002"|Batida|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11105"|"301"|Bazar Leve|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11924"|"5040030004"|Bebe|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11081"|"2010080003"|Bebedouro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11792"|"4020010012"|Bebedouro|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10884"|"101003"|Bebida Láctea|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12179"|"0020020008"|Bebidas Especiais|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10595"|"002"|Bebidas Frias|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12180"|"0020020009"|Bebidas Prontas|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10817"|"005"|Bebidas Quentes|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12181"|"701001"|Bens De Terceiros|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12092"|"701"|Bens Terceiros|P|3|0|0|""||""|""||"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11901"|"5040010015"|Bermuda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11911"|"5040020004"|Bermuda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11925"|"5040030005"|Bermuda|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11216"|"3030030005"|Bicicleta|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11261"|"305007"|Bicicletas/Triciclos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11984"|"5050020005"|Bico|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11770"|"345"|Bijuteria|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11771"|"345001"|Bijuteria|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10582"|"0010230001"|Biológico|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11888"|"5040010002"|Biquini|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10518"|"001013"|Biscoito|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10519"|"0010130001"|Biscoito Amanteigado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12143"|"0010130016"|Biscoito Amendoim|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12144"|"0010130017"|Biscoito Arroz|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12145"|"0010130018"|Biscoito Broa|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"11065"|"2010060001"|Biscoito Caes|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12142"|"0010130015"|Biscoito Coco|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10520"|"0010130002"|Biscoito Cookies|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10521"|"0010130003"|Biscoito Cream Cracker|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12146"|"0010130019"|Biscoito Especial|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10522"|"0010130004"|Biscoito Integral|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12141"|"0010130014"|Biscoito Leite|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10523"|"0010130005"|Biscoito Maizena|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10524"|"0010130006"|Biscoito Maria|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10527"|"0010130009"|Biscoito Polvilho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10526"|"0010130008"|Biscoito Pão De Mel|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10528"|"0010130010"|Biscoito Recheado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10529"|"0010130011"|Biscoito Rosca|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10525"|"0010130007"|Biscoito Salgado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10530"|"0010130012"|Biscoito Sequilho|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10531"|"0010130013"|Biscoito Wafer|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12078"|"0060020002"|Biscoitos Produção|P|3|0|0|""||""|""||"04"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10830"|"0050020006"|Bitter|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
